----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 32, 512, 512]             864
       BatchNorm2d-2         [-1, 32, 512, 512]              64
         LeakyReLU-3         [-1, 32, 512, 512]               0
          CNNBlock-4         [-1, 32, 512, 512]               0
            Conv2d-5         [-1, 64, 256, 256]          18,432
       BatchNorm2d-6         [-1, 64, 256, 256]             128
         LeakyReLU-7         [-1, 64, 256, 256]               0
          CNNBlock-8         [-1, 64, 256, 256]               0
            Conv2d-9         [-1, 32, 256, 256]           2,080
      BatchNorm2d-10         [-1, 32, 256, 256]              64
        LeakyReLU-11         [-1, 32, 256, 256]               0
           Conv2d-12         [-1, 64, 256, 256]          18,496
      BatchNorm2d-13         [-1, 64, 256, 256]             128
        LeakyReLU-14         [-1, 64, 256, 256]               0
    ResidualBlock-15         [-1, 64, 256, 256]               0
           Conv2d-16        [-1, 128, 128, 128]          73,728
      BatchNorm2d-17        [-1, 128, 128, 128]             256
        LeakyReLU-18        [-1, 128, 128, 128]               0
         CNNBlock-19        [-1, 128, 128, 128]               0
           Conv2d-20         [-1, 64, 128, 128]           8,256
      BatchNorm2d-21         [-1, 64, 128, 128]             128
        LeakyReLU-22         [-1, 64, 128, 128]               0
           Conv2d-23        [-1, 128, 128, 128]          73,856
      BatchNorm2d-24        [-1, 128, 128, 128]             256
        LeakyReLU-25        [-1, 128, 128, 128]               0
           Conv2d-26         [-1, 64, 128, 128]           8,256
      BatchNorm2d-27         [-1, 64, 128, 128]             128
        LeakyReLU-28         [-1, 64, 128, 128]               0
           Conv2d-29        [-1, 128, 128, 128]          73,856
      BatchNorm2d-30        [-1, 128, 128, 128]             256
        LeakyReLU-31        [-1, 128, 128, 128]               0
    ResidualBlock-32        [-1, 128, 128, 128]               0
           Conv2d-33          [-1, 256, 64, 64]         294,912
      BatchNorm2d-34          [-1, 256, 64, 64]             512
        LeakyReLU-35          [-1, 256, 64, 64]               0
         CNNBlock-36          [-1, 256, 64, 64]               0
           Conv2d-37          [-1, 128, 64, 64]          32,896
      BatchNorm2d-38          [-1, 128, 64, 64]             256
        LeakyReLU-39          [-1, 128, 64, 64]               0
           Conv2d-40          [-1, 256, 64, 64]         295,168
      BatchNorm2d-41          [-1, 256, 64, 64]             512
        LeakyReLU-42          [-1, 256, 64, 64]               0
           Conv2d-43          [-1, 128, 64, 64]          32,896
      BatchNorm2d-44          [-1, 128, 64, 64]             256
        LeakyReLU-45          [-1, 128, 64, 64]               0
           Conv2d-46          [-1, 256, 64, 64]         295,168
      BatchNorm2d-47          [-1, 256, 64, 64]             512
        LeakyReLU-48          [-1, 256, 64, 64]               0
           Conv2d-49          [-1, 128, 64, 64]          32,896
      BatchNorm2d-50          [-1, 128, 64, 64]             256
        LeakyReLU-51          [-1, 128, 64, 64]               0
           Conv2d-52          [-1, 256, 64, 64]         295,168
      BatchNorm2d-53          [-1, 256, 64, 64]             512
        LeakyReLU-54          [-1, 256, 64, 64]               0
           Conv2d-55          [-1, 128, 64, 64]          32,896
      BatchNorm2d-56          [-1, 128, 64, 64]             256
        LeakyReLU-57          [-1, 128, 64, 64]               0
           Conv2d-58          [-1, 256, 64, 64]         295,168
      BatchNorm2d-59          [-1, 256, 64, 64]             512
        LeakyReLU-60          [-1, 256, 64, 64]               0
           Conv2d-61          [-1, 128, 64, 64]          32,896
      BatchNorm2d-62          [-1, 128, 64, 64]             256
        LeakyReLU-63          [-1, 128, 64, 64]               0
           Conv2d-64          [-1, 256, 64, 64]         295,168
      BatchNorm2d-65          [-1, 256, 64, 64]             512
        LeakyReLU-66          [-1, 256, 64, 64]               0
           Conv2d-67          [-1, 128, 64, 64]          32,896
      BatchNorm2d-68          [-1, 128, 64, 64]             256
        LeakyReLU-69          [-1, 128, 64, 64]               0
           Conv2d-70          [-1, 256, 64, 64]         295,168
      BatchNorm2d-71          [-1, 256, 64, 64]             512
        LeakyReLU-72          [-1, 256, 64, 64]               0
           Conv2d-73          [-1, 128, 64, 64]          32,896
      BatchNorm2d-74          [-1, 128, 64, 64]             256
        LeakyReLU-75          [-1, 128, 64, 64]               0
           Conv2d-76          [-1, 256, 64, 64]         295,168
      BatchNorm2d-77          [-1, 256, 64, 64]             512
        LeakyReLU-78          [-1, 256, 64, 64]               0
           Conv2d-79          [-1, 128, 64, 64]          32,896
      BatchNorm2d-80          [-1, 128, 64, 64]             256
        LeakyReLU-81          [-1, 128, 64, 64]               0
           Conv2d-82          [-1, 256, 64, 64]         295,168
      BatchNorm2d-83          [-1, 256, 64, 64]             512
        LeakyReLU-84          [-1, 256, 64, 64]               0
    ResidualBlock-85          [-1, 256, 64, 64]               0
           Conv2d-86          [-1, 512, 32, 32]       1,179,648
      BatchNorm2d-87          [-1, 512, 32, 32]           1,024
        LeakyReLU-88          [-1, 512, 32, 32]               0
         CNNBlock-89          [-1, 512, 32, 32]               0
           Conv2d-90          [-1, 256, 32, 32]         131,328
      BatchNorm2d-91          [-1, 256, 32, 32]             512
        LeakyReLU-92          [-1, 256, 32, 32]               0
           Conv2d-93          [-1, 512, 32, 32]       1,180,160
      BatchNorm2d-94          [-1, 512, 32, 32]           1,024
        LeakyReLU-95          [-1, 512, 32, 32]               0
           Conv2d-96          [-1, 256, 32, 32]         131,328
      BatchNorm2d-97          [-1, 256, 32, 32]             512
        LeakyReLU-98          [-1, 256, 32, 32]               0
           Conv2d-99          [-1, 512, 32, 32]       1,180,160
     BatchNorm2d-100          [-1, 512, 32, 32]           1,024
       LeakyReLU-101          [-1, 512, 32, 32]               0
          Conv2d-102          [-1, 256, 32, 32]         131,328
     BatchNorm2d-103          [-1, 256, 32, 32]             512
       LeakyReLU-104          [-1, 256, 32, 32]               0
          Conv2d-105          [-1, 512, 32, 32]       1,180,160
     BatchNorm2d-106          [-1, 512, 32, 32]           1,024
       LeakyReLU-107          [-1, 512, 32, 32]               0
          Conv2d-108          [-1, 256, 32, 32]         131,328
     BatchNorm2d-109          [-1, 256, 32, 32]             512
       LeakyReLU-110          [-1, 256, 32, 32]               0
          Conv2d-111          [-1, 512, 32, 32]       1,180,160
     BatchNorm2d-112          [-1, 512, 32, 32]           1,024
       LeakyReLU-113          [-1, 512, 32, 32]               0
          Conv2d-114          [-1, 256, 32, 32]         131,328
     BatchNorm2d-115          [-1, 256, 32, 32]             512
       LeakyReLU-116          [-1, 256, 32, 32]               0
          Conv2d-117          [-1, 512, 32, 32]       1,180,160
     BatchNorm2d-118          [-1, 512, 32, 32]           1,024
       LeakyReLU-119          [-1, 512, 32, 32]               0
          Conv2d-120          [-1, 256, 32, 32]         131,328
     BatchNorm2d-121          [-1, 256, 32, 32]             512
       LeakyReLU-122          [-1, 256, 32, 32]               0
          Conv2d-123          [-1, 512, 32, 32]       1,180,160
     BatchNorm2d-124          [-1, 512, 32, 32]           1,024
       LeakyReLU-125          [-1, 512, 32, 32]               0
          Conv2d-126          [-1, 256, 32, 32]         131,328
     BatchNorm2d-127          [-1, 256, 32, 32]             512
       LeakyReLU-128          [-1, 256, 32, 32]               0
          Conv2d-129          [-1, 512, 32, 32]       1,180,160
     BatchNorm2d-130          [-1, 512, 32, 32]           1,024
       LeakyReLU-131          [-1, 512, 32, 32]               0
          Conv2d-132          [-1, 256, 32, 32]         131,328
     BatchNorm2d-133          [-1, 256, 32, 32]             512
       LeakyReLU-134          [-1, 256, 32, 32]               0
          Conv2d-135          [-1, 512, 32, 32]       1,180,160
     BatchNorm2d-136          [-1, 512, 32, 32]           1,024
       LeakyReLU-137          [-1, 512, 32, 32]               0
   ResidualBlock-138          [-1, 512, 32, 32]               0
          Conv2d-139         [-1, 1024, 16, 16]       4,718,592
     BatchNorm2d-140         [-1, 1024, 16, 16]           2,048
       LeakyReLU-141         [-1, 1024, 16, 16]               0
        CNNBlock-142         [-1, 1024, 16, 16]               0
